Time_taken (min),Distance_km,Road_traffic_density,Delivery_person_Age,Delivery_person_Ratings,multiple_deliveries,Order_Hour
20,4.39522525342693,1,27.0,5.0,0.0,17.0
23,3.1045718665451782,0,36.0,4.9,1.0,9.0
36,1.5126000890232916,2,31.0,4.6,1.0,11.0
13,19.3438309081408,1,29.0,5.0,0.0,17.0
32,9.435201537430714,3,22.0,4.6,1.0,21.0
14,10.707006464770936,0,24.0,4.6,0.0,23.0
39,7.546876906900249,3,33.0,4.1,0.0,19.0
33,4.632302885852554,3,31.0,4.9,0.0,19.0
20,4.591636071834256,0,33.0,4.5,0.0,0.0
24,2.9796265189931233,0,31.0,4.5,1.0,9.0
48,6.037990253487766,2,31.0,4.8,1.0,13.0
20,6.118471180690497,2,26.0,4.9,1.0,12.0
46,13.77076958377127,3,34.0,4.4,1.0,21.0
27,7.448560816474598,1,33.0,4.6,1.0,18.0
33,20.20729968887068,1,38.0,4.3,1.0,17.0
26,9.175565157006737,1,25.0,4.8,1.0,18.0
34,7.448303502970493,3,24.0,4.1,1.0,19.0
33,4.469352052738077,3,26.0,4.1,1.0,21.0
19,7.762510040102141,3,26.0,4.8,1.0,20.0
37,11.007734763744617,3,32.0,4.9,1.0,19.0
19,4.610430682715917,0,36.0,4.8,1.0,22.0
25,11.916582838288104,1,29.0,4.9,1.0,18.0
19,12.116895848186626,3,27.0,5.0,1.0,19.0
15,12.417003842687146,0,28.0,4.6,0.0,22.0
26,6.29013467763468,2,35.0,4.6,0.0,14.0
36,4.528289130580048,3,39.0,4.7,0.0,20.0
32,7.8032219310450195,3,35.0,4.7,0.0,21.0
15,12.435597855540221,3,21.0,4.9,0.0,20.0
19,7.490153546303699,0,20.0,4.7,1.0,23.0
25,7.762500242365753,3,24.0,4.9,0.0,19.0
34,9.055981117924203,3,29.0,4.8,1.0,19.0
16,4.657528074267875,1,26.0,4.7,0.0,18.0
18,6.210141144622586,2,39.0,4.7,1.0,14.0
15,4.610621612645187,1,31.0,4.7,1.0,17.0
20,20.44292976252901,3,32.0,4.8,1.0,20.0
37,13.612451541411557,3,35.0,4.9,1.0,21.0
11,16.720582121841456,3,26.0,4.8,0.0,19.0
20,7.761160094160204,0,37.0,4.7,1.0,23.0
16,3.109059104393369,2,33.0,4.9,1.0,11.0
12,9.192119121311745,1,24.0,4.6,0.0,17.0
50,10.75755477315807,3,38.0,5.0,1.0,20.0
27,10.756955716295083,0,39.0,4.6,1.0,0.0
16,3.145067434621583,0,20.0,4.9,0.0,9.0
19,1.4898458841183333,2,20.0,4.7,1.0,11.0
30,6.210060323088704,2,33.0,4.8,0.0,13.0
33,10.880651848535559,3,28.0,4.6,1.0,19.0
48,13.620331894946727,1,39.0,4.8,3.0,18.0
34,16.827472773146095,0,30.0,4.1,1.0,23.0
17,3.1089751947120248,0,29.0,4.9,1.0,8.0
19,3.145067434621583,0,32.0,4.6,0.0,8.0
42,10.587732954177069,1,37.0,4.7,2.0,17.0
40,17.07302628964209,3,20.0,4.8,1.0,20.0
15,14.022096082518878,0,30.0,5.0,1.0,22.0
28,6.1469671519338895,2,31.0,4.9,1.0,15.0
33,4.587356404161673,3,23.0,4.6,1.0,19.0
46,10.704238934519315,3,30.0,4.6,0.0,21.0
28,4.3953626610863985,3,36.0,4.5,0.0,20.0
26,14.15280068944862,1,28.0,4.9,0.0,17.0
12,3.116128490575321,0,27.0,4.9,0.0,9.0
36,16.63579806090435,1,31.0,4.3,1.0,18.0
22,20.252959556511744,0,30.0,4.9,1.0,23.0
37,13.588974754474432,3,33.0,4.5,1.0,19.0
17,1.5523012503298028,0,35.0,4.9,1.0,10.0
18,20.848074005447355,3,21.0,4.9,0.0,21.0
10,6.176541436788837,2,25.0,4.9,0.0,12.0
18,1.5093764432901144,0,39.0,4.9,0.0,9.0
35,6.29013467763468,2,37.0,4.8,1.0,12.0
36,10.707144604562082,0,30.0,3.5,1.0,22.0
28,11.983536457749452,3,20.0,4.6,1.0,20.0
29,9.22086597503784,1,33.0,4.9,1.0,18.0
43,12.236790662986138,1,39.0,4.9,1.0,17.0
42,12.417687564200063,3,30.0,3.5,0.0,20.0
23,12.161642370389037,3,23.0,4.8,1.0,21.0
30,20.968899445721757,1,36.0,5.0,1.0,18.0
18,16.59765942033505,1,38.0,4.5,1.0,18.0
41,20.17741678822261,3,33.0,4.9,2.0,19.0
25,7.772282029629311,3,29.0,4.6,1.0,19.0
22,4.5890994584359515,0,29.0,4.7,0.0,22.0
18,14.0453730484291,3,24.0,5.0,0.0,21.0
45,4.610254758948449,3,31.0,4.0,1.0,19.0
21,12.236322809891128,0,25.0,4.8,1.0,23.0
40,16.8253834049009,3,25.0,4.8,2.0,19.0
47,13.830756172608513,3,39.0,5.0,1.0,22.0
37,4.657153007152837,1,31.0,4.8,2.0,18.0
24,16.384351156454095,1,27.0,4.8,1.0,18.0
25,17.0767871164594,0,37.0,4.6,1.0,23.0
29,3.1050835221086417,0,26.0,4.4,1.0,9.0
37,13.989249784535353,3,39.0,3.7,1.0,20.0
25,16.3938118808,3,28.0,4.6,1.0,20.0
16,1.572533729286321,0,29.0,4.6,1.0,8.0
41,16.411341039814936,1,26.0,4.7,1.0,18.0
33,10.709003371535417,0,30.0,4.3,0.0,22.0
43,12.580267822400963,3,35.0,4.2,1.0,20.0
15,7.450185408246093,3,28.0,4.8,1.0,21.0
34,12.464329547626278,3,24.0,4.3,1.0,19.0
28,8.940167719841355,1,35.0,4.7,1.0,17.0
12,1.4898423067405666,0,27.0,4.6,0.0,11.0
37,4.674173521866281,1,33.0,4.0,1.0,17.0
22,5.992261608063494,1,25.0,4.8,0.0,15.0
39,13.763896210757977,1,23.0,5.0,1.0,18.0
35,19.618918347479877,3,36.0,4.1,1.0,20.0
13,4.596926091184748,3,28.0,4.7,1.0,20.0
26,12.580267822400963,0,26.0,4.6,0.0,22.0
24,16.660108123693192,0,34.0,4.9,1.0,23.0
17,9.263231656574526,1,24.0,4.6,1.0,18.0
23,16.601276790345967,3,36.0,4.9,1.0,19.0
21,4.560903158461034,1,20.0,5.0,1.0,18.0
22,9.348448896833318,0,35.0,4.7,1.0,23.0
27,1.5544994921789965,0,38.0,4.8,1.0,8.0
16,10.881197531246407,1,20.0,4.5,1.0,17.0
19,9.220209378254708,0,34.0,4.7,0.0,22.0
30,11.937006781135741,3,36.0,4.7,1.0,19.0
16,14.02184017066065,0,21.0,4.6,1.0,22.0
23,10.416963824321584,0,20.0,4.8,0.0,22.0
26,7.44864451602914,0,38.0,4.7,1.0,22.0
22,6.03744523636816,2,26.0,5.0,1.0,14.0
15,1.5297232853100244,0,22.0,4.8,1.0,9.0
42,10.880935113345313,3,33.0,3.5,2.0,19.0
31,12.11655916281721,3,23.0,4.3,0.0,21.0
27,7.562267471532845,1,36.0,4.8,1.0,18.0
18,1.520455689583788,0,30.0,5.0,1.0,9.0
52,10.757499697083244,3,36.0,4.8,0.0,21.0
16,7.683782781592616,0,31.0,4.5,0.0,22.0
32,11.007734763744617,1,37.0,4.3,1.0,17.0
17,7.7725232004434295,0,24.0,5.0,0.0,22.0
15,17.077821017427635,0,28.0,4.8,0.0,22.0
36,13.830206237242956,3,26.0,4.5,2.0,19.0
21,1.5523608800116515,0,34.0,4.6,0.0,10.0
30,1.5204319193295497,2,25.0,4.9,0.0,11.0
21,8.928939271550702,3,33.0,4.6,0.0,21.0
21,1.5323350156090414,0,30.0,4.7,1.0,9.0
20,7.567997138623191,3,23.0,4.5,0.0,21.0
29,7.772466272035551,3,26.0,4.7,1.0,21.0
19,17.16536125639379,3,27.0,4.6,1.0,21.0
36,17.29786575291325,1,32.0,4.0,1.0,18.0
26,6.0504060616582525,1,28.0,4.6,1.0,16.0
13,6.1766084827181205,1,23.0,4.6,0.0,15.0
24,2.9303422228167397,0,33.0,4.7,1.0,9.0
21,12.25659774869038,1,38.0,4.5,1.0,17.0
24,3.1162384958431986,0,32.0,4.7,0.0,9.0
23,4.674184358398377,1,23.0,5.0,1.0,18.0
15,20.20634606758301,3,20.0,4.7,0.0,21.0
24,7.683740930982763,3,28.0,4.7,0.0,20.0
31,7.44855797957408,1,34.0,5.0,0.0,18.0
15,8.92906001215989,1,27.0,4.9,0.0,18.0
36,16.85270156392274,3,36.0,4.1,1.0,21.0
26,6.29013467763468,2,33.0,4.6,1.0,14.0
12,4.717601092054723,1,26.0,4.6,0.0,17.0
26,19.364487993280896,0,33.0,4.9,1.0,23.0
42,19.659851482292062,3,24.0,4.4,0.0,19.0
29,12.418394742110447,1,34.0,4.5,1.0,18.0
17,3.0734222587643045,0,35.0,5.0,1.0,10.0
42,13.480957508143813,3,34.0,4.2,0.0,21.0
14,4.5607604314529,0,23.0,4.6,0.0,22.0
30,9.193093962702912,3,38.0,4.5,1.0,21.0
17,16.824772113250834,3,26.0,4.7,0.0,20.0
18,1.5324173514302288,0,23.0,4.8,1.0,10.0
10,7.772241719523235,0,22.0,4.8,0.0,22.0
33,7.4411463368398385,3,39.0,4.7,1.0,20.0
35,20.556310063109457,3,35.0,4.3,2.0,19.0
17,6.210168035777162,1,36.0,5.0,0.0,16.0
45,6.050094908857936,2,39.0,4.6,2.0,14.0
32,19.976712110350487,3,27.0,4.9,1.0,20.0
29,4.528282400326012,1,35.0,4.9,0.0,17.0
20,19.364487993280896,3,28.0,5.0,1.0,19.0
15,3.064267071068136,0,24.0,5.0,0.0,9.0
18,3.104803710518419,0,24.0,4.4,1.0,8.0
18,16.63531520325545,1,26.0,4.6,1.0,18.0
27,1.5580841994904557,0,32.0,4.6,0.0,10.0
44,10.864870498856765,3,34.0,4.9,1.0,20.0
35,17.29786575291325,3,38.0,4.2,0.0,21.0
33,19.974163074784503,1,35.0,4.9,1.0,18.0
24,12.232070021478211,0,37.0,5.0,1.0,23.0
33,4.67431885403065,1,36.0,4.3,1.0,18.0
33,10.881463659821872,1,24.0,4.2,1.0,18.0
23,6.081440911759754,1,24.0,4.8,0.0,16.0
49,10.641581256626232,3,33.0,4.6,0.0,19.0
21,14.021816217041177,0,27.0,4.6,1.0,22.0
42,12.099896960230076,3,35.0,4.7,1.0,21.0
18,4.5790387166346855,1,21.0,5.0,1.0,18.0
24,17.07559440107296,1,20.0,4.7,1.0,19.0
27,4.663310851898783,0,24.0,4.3,0.0,22.0
33,8.987828354729745,3,22.0,4.1,1.0,19.0
20,16.601276790345967,0,35.0,4.9,0.0,23.0
26,7.772039544673178,3,29.0,4.8,1.0,19.0
23,6.0504060616582525,1,28.0,4.7,1.0,15.0
25,13.611544388190575,3,34.0,4.7,1.0,21.0
39,13.78848075238715,3,30.0,4.4,2.0,20.0
27,19.47125401130631,0,33.0,4.8,1.0,22.0
33,7.760928146685043,1,36.0,4.7,1.0,17.0
10,13.40588385177958,3,21.0,5.0,0.0,20.0
15,7.562317945109334,0,29.0,4.0,1.0,23.0
39,17.07670421054038,3,30.0,4.9,2.0,21.0
21,19.362825446415226,1,27.0,4.9,1.0,18.0
33,5.962202685727718,2,30.0,4.3,1.0,14.0
19,6.128684140033282,1,31.0,4.8,0.0,16.0
27,7.760937776419092,3,27.0,4.7,0.0,21.0
24,1.4981517843346028,0,38.0,4.5,1.0,9.0
38,10.806640241071428,1,38.0,4.4,0.0,18.0
21,1.5545440228107195,0,20.0,4.5,1.0,9.0
16,13.681631975373575,1,20.0,4.5,1.0,18.0
28,13.610807781529353,0,21.0,4.8,1.0,23.0
31,17.07269000033606,3,37.0,4.4,1.0,19.0
25,9.2191235676111,3,39.0,4.8,0.0,19.0
18,10.587588203123412,0,27.0,5.0,0.0,22.0
28,7.600983953739401,3,36.0,4.9,0.0,20.0
37,8.95310195230245,3,38.0,4.8,1.0,19.0
24,7.60136893811491,1,37.0,4.9,1.0,18.0
16,7.772282029629311,1,32.0,5.0,1.0,17.0
10,1.5580841994904557,0,20.0,4.9,0.0,8.0
18,3.1090585255903513,0,29.0,4.6,1.0,8.0
26,10.807410660610635,1,28.0,4.8,0.0,18.0
27,7.7631971453288875,0,25.0,4.5,1.0,23.0
26,12.100108934661812,1,27.0,4.9,0.0,18.0
32,3.1089029191679383,0,37.0,4.1,1.0,9.0
33,10.906414500350794,3,21.0,4.3,1.0,20.0
27,6.051108888205776,2,35.0,4.6,1.0,14.0
10,3.145067434621583,0,38.0,4.7,0.0,8.0
46,13.788581570141362,1,39.0,4.5,1.0,18.0
26,20.85172635753384,0,31.0,4.8,1.0,23.0
23,1.572533729286321,0,36.0,4.7,1.0,9.0
16,20.506944148177876,3,23.0,4.9,1.0,21.0
31,13.763896210757977,0,24.0,2.8,1.0,22.0
18,4.5279170129511765,0,39.0,4.5,1.0,22.0
17,4.717601092054723,0,20.0,4.7,0.0,23.0
25,3.0189069957366157,2,22.0,4.6,1.0,11.0
29,9.121049806498666,1,27.0,5.0,0.0,17.0
15,12.417003842687146,3,27.0,5.0,1.0,20.0
17,9.326603239772547,3,29.0,4.7,1.0,21.0
21,13.682164847733755,0,21.0,4.9,1.0,23.0
18,13.680987399157162,1,22.0,4.5,0.0,17.0
42,10.593945847570938,3,35.0,3.8,0.0,20.0
34,8.936297424957562,3,36.0,4.7,0.0,21.0
11,3.105492716560946,0,22.0,4.8,1.0,8.0
16,6.1190394664699514,1,26.0,4.6,0.0,15.0
39,10.757499697083244,1,31.0,4.7,1.0,17.0
10,7.8626681674103684,0,20.0,4.6,0.0,22.0
28,5.958771662511523,1,31.0,4.9,0.0,15.0
19,20.069389638817523,3,26.0,4.6,0.0,20.0
33,16.641014927987907,1,35.0,4.7,0.0,18.0
28,16.645616357823624,0,39.0,4.9,0.0,23.0
28,4.657153007152837,3,23.0,4.5,0.0,21.0
29,9.074744674241005,0,22.0,4.1,1.0,0.0
22,17.13752759379912,3,23.0,4.7,1.0,19.0
31,6.209250269756872,1,39.0,4.1,1.0,16.0
11,14.15280068944862,3,29.0,4.6,1.0,19.0
39,14.021812013196106,1,28.0,4.4,1.0,17.0
18,13.970007989574006,3,39.0,4.7,0.0,21.0
14,9.076358225887674,1,21.0,4.8,1.0,17.0
23,3.064676862169093,2,26.0,4.8,0.0,11.0
24,7.601066543768378,0,38.0,4.3,1.0,22.0
41,6.058923147526397,2,32.0,4.7,1.0,13.0
17,7.7635043374686274,0,26.0,5.0,0.0,22.0
38,16.634870118211836,3,25.0,4.0,2.0,21.0
18,1.5147885720051273,0,27.0,4.6,1.0,10.0
21,10.602450942886513,0,33.0,4.9,0.0,22.0
20,20.85333460818602,0,34.0,5.0,1.0,23.0
37,17.097972349714006,1,23.0,4.6,2.0,19.0
36,19.36342948174777,1,30.0,4.3,0.0,17.0
25,9.219783818326418,1,25.0,4.8,1.0,18.0
15,4.610254758948449,1,39.0,4.6,1.0,18.0
39,10.756990051436132,1,24.0,4.1,0.0,18.0
12,5.959032639454782,1,23.0,4.8,0.0,15.0
14,3.1051455399287056,0,20.0,4.6,0.0,10.0
15,7.762394296687464,0,39.0,4.9,1.0,22.0
17,1.5203488928264928,0,36.0,4.8,1.0,8.0
19,7.563759001970378,0,25.0,4.9,1.0,23.0
39,7.7624991757103565,3,36.0,4.1,1.0,20.0
29,13.989695713800396,3,34.0,4.8,1.0,19.0
24,2.976635343491255,0,32.0,4.8,0.0,10.0
19,4.674181485440602,1,30.0,4.6,1.0,18.0
38,1.4897343062370803,2,33.0,4.8,1.0,11.0
14,3.0644857806760535,0,29.0,4.7,1.0,8.0
26,13.90269207363203,1,22.0,4.8,1.0,17.0
18,3.145067434621583,0,28.0,4.6,0.0,8.0
38,13.407092693002484,3,24.0,4.0,2.0,20.0
18,1.572533729286321,0,29.0,4.9,1.0,8.0
25,13.58308621493501,3,21.0,4.7,0.0,20.0
16,10.705559922396555,0,25.0,4.7,1.0,23.0
17,1.5322531674035038,0,22.0,4.2,1.0,9.0
50,4.544264509631538,3,20.0,3.5,3.0,21.0
32,6.29013467763468,2,27.0,5.0,1.0,14.0
16,3.0270945232318014,0,32.0,5.0,1.0,9.0
25,10.602450942886513,3,30.0,4.7,1.0,21.0
30,3.0408635912257624,0,34.0,4.3,1.0,9.0
13,9.435201537430714,0,20.0,4.6,0.0,23.0
24,8.928939271550702,3,21.0,4.8,1.0,21.0
27,19.088943009469194,3,34.0,4.5,1.0,19.0
44,17.097896810816284,1,37.0,4.7,1.0,18.0
26,16.600361127912656,3,28.0,4.8,1.0,20.0
51,4.527915278149081,3,24.0,3.5,1.0,19.0
16,6.217525604924386,2,28.0,4.8,0.0,14.0
20,11.916235157217862,0,24.0,4.6,1.0,23.0
35,16.852834881460105,1,23.0,4.3,1.0,17.0
31,6.081387490813416,2,30.0,4.4,0.0,13.0
16,2.979626144829987,0,26.0,4.6,1.0,8.0
25,16.72146713385881,1,36.0,4.7,0.0,18.0
19,20.20525323529291,3,33.0,4.7,1.0,19.0
11,16.384324359677578,0,28.0,4.7,0.0,23.0
22,12.074377562049364,0,36.0,4.9,0.0,22.0
22,3.105492716560946,0,30.0,4.6,1.0,10.0
26,1.554514382186963,0,32.0,4.7,1.0,8.0
30,6.232139486668102,2,30.0,4.8,1.0,14.0
28,20.183529728733618,1,24.0,4.9,1.0,18.0
36,16.385802266862793,3,20.0,4.7,2.0,21.0
39,7.546670729116101,3,36.0,4.0,1.0,19.0
39,12.161605446010208,0,34.0,4.4,0.0,23.0
20,1.552560983126433,0,28.0,4.7,0.0,8.0
16,4.717601092054723,0,27.0,4.7,0.0,22.0
38,10.868263117988388,1,27.0,5.0,0.0,17.0
24,7.567713368601147,1,26.0,4.9,1.0,18.0
24,9.192571532077613,3,31.0,4.9,0.0,21.0
36,13.990536544120216,3,38.0,4.6,1.0,20.0
21,3.060475538709063,0,36.0,4.6,1.0,9.0
25,9.178296996538572,0,37.0,4.0,1.0,23.0
14,1.5204190072774333,0,21.0,4.5,1.0,9.0
30,16.601408334261674,3,22.0,5.0,1.0,22.0
17,9.435201537430714,0,22.0,4.6,1.0,23.0
47,12.580267822400963,3,33.0,4.8,0.0,19.0
18,4.537922749289298,3,26.0,4.7,1.0,19.0
21,1.465122557159026,0,20.0,4.7,1.0,8.0
43,12.463970105023904,0,27.0,2.9,1.0,23.0
16,9.220397882984718,3,28.0,4.7,1.0,20.0
11,3.0644638558352577,0,21.0,4.8,0.0,10.0
39,19.83935367946772,0,31.0,3.8,1.0,23.0
37,13.970007989574006,1,30.0,4.3,2.0,18.0
15,12.42069253996503,0,23.0,5.0,1.0,0.0
27,12.23656153955492,3,24.0,4.7,1.0,20.0
38,11.91667929885388,3,26.0,4.8,2.0,20.0
16,9.12210553959038,0,27.0,4.6,1.0,23.0
19,9.074821802568852,1,32.0,4.7,1.0,18.0
12,4.663658229921789,0,33.0,4.9,0.0,22.0
17,13.631339548300275,0,35.0,4.6,1.0,22.0
37,5.968870550908365,1,36.0,4.9,1.0,15.0
32,1.4899109729390851,2,39.0,4.9,1.0,11.0
28,16.659974055073302,0,20.0,4.9,0.0,23.0
19,9.315745106316243,0,25.0,4.6,0.0,22.0
24,9.313528459380548,0,34.0,4.3,1.0,22.0
34,7.546267706957737,3,38.0,4.8,1.0,19.0
24,3.1044353971266565,0,30.0,5.0,1.0,11.0
23,13.973206773137713,1,30.0,4.5,1.0,17.0
16,10.711185800959656,1,23.0,5.0,0.0,17.0
38,19.88701283582688,3,28.0,4.6,1.0,21.0
38,7.683355299930933,3,39.0,4.2,1.0,19.0
27,6.0588489445304,1,29.0,4.9,1.0,16.0
26,4.674393132741051,1,38.0,4.9,1.0,17.0
14,7.448379823536196,3,28.0,4.8,1.0,20.0
32,10.707675026486205,3,28.0,4.4,0.0,20.0
26,7.761780026108867,3,21.0,4.8,1.0,21.0
20,10.924526055103547,0,24.0,4.7,1.0,0.0
22,13.973760919164189,3,25.0,4.8,0.0,19.0
23,4.537513326842717,1,21.0,4.5,1.0,17.0
27,10.880887117732282,0,36.0,4.5,1.0,23.0
29,4.537653689675138,3,36.0,5.0,1.0,21.0
27,1.5148048951935007,2,33.0,4.6,1.0,11.0
16,6.081204324626466,2,20.0,4.6,1.0,12.0
34,6.037116126732456,1,36.0,4.9,2.0,16.0
19,3.025279772423236,0,30.0,4.7,1.0,10.0
16,7.631507423907812,0,24.0,4.7,1.0,23.0
26,4.560928430651938,1,34.0,4.9,1.0,18.0
39,17.13921974225849,0,20.0,3.2,1.0,22.0
26,12.463883024166657,1,24.0,4.6,1.0,18.0
23,9.264648568906683,0,30.0,4.8,0.0,22.0
33,12.419724873245404,3,33.0,3.8,0.0,19.0
20,19.367701972031078,0,20.0,4.9,1.0,23.0
38,16.980990792659853,3,32.0,3.7,2.0,20.0
16,4.663344843093785,0,37.0,4.5,1.0,23.0
26,10.881463659821872,0,30.0,4.6,0.0,22.0
46,7.44864451602914,3,33.0,4.2,3.0,19.0
38,4.656862974505059,3,37.0,4.1,1.0,20.0
15,1.5321262845594088,0,36.0,4.6,1.0,8.0
38,7.324963249883455,3,36.0,4.9,1.0,21.0
28,1.513448240349314,2,25.0,4.6,1.0,12.0
42,13.582342704260105,3,24.0,4.9,1.0,19.0
16,1.5580766213086716,0,37.0,5.0,0.0,10.0
19,17.073813051007523,3,21.0,4.6,0.0,20.0
31,8.811629447251413,1,33.0,4.1,0.0,19.0
34,20.85154468962371,1,36.0,4.4,1.0,18.0
34,17.138074588551884,3,36.0,4.1,1.0,21.0
21,9.181146899051038,0,38.0,4.5,1.0,22.0
18,1.572533729286321,0,26.0,4.9,1.0,9.0
54,20.25305420828035,3,32.0,5.0,1.0,19.0
19,1.509460397835505,0,21.0,4.8,1.0,8.0
31,11.905030946256336,1,24.0,4.6,0.0,17.0
20,16.388478196037884,3,29.0,4.9,1.0,20.0
26,9.326602961232513,0,39.0,4.7,1.0,22.0
19,3.027292134044053,0,21.0,4.7,0.0,8.0
26,14.15280068944862,0,35.0,4.6,1.0,23.0
34,14.15280068944862,3,21.0,4.9,1.0,20.0
21,1.5322015943257514,0,28.0,4.8,1.0,10.0
25,7.761780026108867,0,39.0,4.6,1.0,22.0
26,3.145067434621583,2,28.0,4.8,1.0,11.0
26,7.762510040102141,0,30.0,4.6,1.0,23.0
26,3.0295246341921644,0,34.0,5.0,0.0,8.0
17,4.65734737800111,1,32.0,4.9,1.0,18.0
24,19.36320422209685,1,34.0,4.8,0.0,17.0
17,19.3626986679347,0,31.0,5.0,1.0,23.0
32,12.257490517738452,3,38.0,4.3,1.0,20.0
28,6.128249797982013,1,31.0,4.7,1.0,16.0
51,12.107734496942113,3,32.0,4.8,3.0,19.0
27,9.316091864517965,3,32.0,4.6,1.0,21.0
23,20.506934775865457,0,30.0,4.6,1.0,22.0
29,6.210607623190057,2,31.0,4.5,1.0,14.0
26,3.116253656338934,0,39.0,4.7,1.0,8.0
28,4.469166522803337,3,31.0,5.0,1.0,22.0
42,20.176709024393567,3,23.0,5.0,2.0,19.0
